,0,1
0,團撻雖,100
1,團撻雖,50
2,團撻雖,100
3,團撻雖,100
4,團撻雖,50
5,團撻雖,98
6,團撻雖,98
7,團撻雖,100
8,團撻雖,50
9,團撻雖,100
10,團撻雖,95
11,團撻雖,100
12,團撻雖,100
13,團撻雖,100
14,團撻雖,-1
15,團撻雖,50
16,團撻雖,100
17,團撻雖,-1
18,團撻雖,100
19,團撻雖,100
20,團撻雖,100
21,團撻雖,100
22,團撻雖,100
23,團撻雖,100
24,團撻雖,100
25,團撻雖,100
26,團撻雖,-1
27,團撻雖,100
28,團撻雖,100
29,團撻雖,100
30,團撻雖,50
31,團撻雖,100
32,團撻雖,100
33,團撻雖,100
34,團撻雖,100
35,團撻雖,3
36,團撻雖,3
37,團撻雖,3
38,團撻雖,100
39,團撻雖,97
40,團撻雖,100
41,團撻雖,98
42,團撻雖,98
43,團撻雖,100
44,團撻雖,100
45,團撻雖,100
46,團撻雖,100
47,團撻雖,100
48,團撻雖,2
49,團撻雖,2
50,團撻雖,100
51,團撻雖,100
52,團撻雖,100
53,團撻雖,100
54,團撻雖,100
55,團撻雖,100
56,團撻雖,100
57,團撻雖,100
58,團撻雖,50
59,團撻雖,100
60,團撻雖,100
61,團撻雖,91
62,團撻雖,100
63,團撻雖,100
64,團撻雖,72
65,團撻雖,-1
66,團撻雖,100
67,團撻雖,100
68,團撻雖,100
69,團撻雖,-1
70,團撻雖,76
71,團撻雖,100
72,團撻雖,100
73,團撻雖,50
74,團撻雖,100
75,團撻雖,-1
76,團撻雖,-1
77,團撻雖,100
78,團撻雖,100
79,團撻雖,100
80,團撻雖,100
81,團撻雖,100
82,團撻雖,100
83,團撻雖,17
84,團撻雖,100
85,團撻雖,100
86,團撻雖,100
87,團撻雖,100
88,團撻雖,100
89,團撻雖,100
90,團撻雖,98
91,團撻雖,21
92,團撻雖,21
93,團撻雖,98
94,團撻雖,100
95,團撻雖,100
96,團撻雖,100
97,團撻雖,100
98,團撻雖,100
